ENTRY,NAME,FORMULA,MASS,M.plus.H,M.minus.H,Biofluid
HMDB00409 , (5R)-5-Hydroxyhexanoic acid , C6H12O3,132.079,133.086276,131.071724,Not Available
HMDB12481 ," (5Z)-(15S)-11alpha-Hydroxy-9,15-dioxoprostanoate ", C20H32O5,352.225,353.232276,351.217724,Not Available
HMDB12482 ," (6R)-6-(L-Erythro-1,2-Dihydroxypropyl)-5,6,7,8-tetrahydro-4a-hydroxypterin ", C9H14N4O3,226.107,227.114276,225.099724,Not Available
HMDB03063 ," (9-cis,9'-cis)-7,7',8,8'-Tetrahydro-y,y-Carotene ", C40H60,540.469,541.476276,539.461724,Not Available
HMDB06537 , (a-D-mannosyl)2-b-D-mannosyl-N-acetylglucosamine , C26H45NO21,707.248,708.255276,706.240724,Not Available
HMDB02266 , (E)-2-Methylglutaconic acid , C6H8O4,144.042,145.049276,143.034724,Not Available
HMDB12117 , (Glucosyl)2(mannosyl)9-(N-acetylglucosaminyl)2-diphosphodolichol , C162H270N2O72P2,3457.7,3458.707276,3456.692724,Not Available
HMDB12118 , (Mannosyl)2-(N-acetylglucosaminyl)2-diphosphodolichol , C108H180N2O27P2,1999.225,2000.232276,1998.217724,Not Available
HMDB12119 , (Mannosyl)3-(N-acetylglucosaminyl)2-diphosphodolichol , C114H190N2O32P2,2161.278,2162.285276,2160.270724,Not Available
HMDB12120 , (Mannosyl)4-(N-acetylglucosaminyl)2-diphosphodolichol , C120H200N2O37P2,2323.331,2324.338276,2322.323724,Not Available
HMDB12121 , (Mannosyl)5-(N-acetylglucosaminyl)2-diphosphodolichol , C126H210N2O42P2,2485.383,2486.390276,2484.375724,Not Available
HMDB12122 , (Mannosyl)6-(N-acetylglucosaminyl)2-diphosphodolichol , C132H220N2O47P2,2647.436,2648.443276,2646.428724,Not Available
HMDB12123 , (Mannosyl)7-(N-acetylglucosaminyl)2-diphosphodolichol , C138H230N2O52P2,2809.489,2810.496276,2808.481724,Not Available
HMDB12124 , (Mannosyl)8-(N-acetylglucosaminyl)2-diphosphodolichol , C144H240N2O57P2,2971.542,2972.549276,2970.534724,Not Available
HMDB12125 , (Mannosyl)9-(N-acetylglucosaminyl)2-diphosphodolichol , C150H250N2O62P2,3133.595,3134.602276,3132.587724,Not Available
HMDB12126 , (N-Acetylglucosaminyl)2-diphosphodolichol , C96H160N2O17P2,1675.119,1676.126276,1674.111724,Not Available
HMDB01081 , (N-acetylneuraminosyl(a2-6)lactosamine) , C25H42N2O19,674.238,675.245276,673.230724,Breast Milk
HMDB12140 ," (R) 2,3-Dihydroxy-3-methylvalerate ", C6H12O4,148.074,149.081276,147.066724,Not Available
HMDB12484 ," (R)-1,2-dimethyl-5,6-dihydroxy-tetrahydroisoquinoline ", C11H15NO2,193.11,194.117276,192.102724,Not Available
HMDB12141 ," (R)-2,3-Dihydroxy-isovalerate ", C5H10O4,134.058,135.065276,133.050724,Not Available
HMDB12127 , (R)-2-Benzylsuccinate , C11H12O4,208.074,209.081276,207.066724,Not Available
HMDB02264 , (R)-2-Hydroxycaprylic acid , C8H16O3,160.11,161.117276,159.102724,Not Available
HMDB00011 , (R)-3-Hydroxybutyric acid , C4H8O3,104.047,105.054276,103.039724,Blood; Cerebrospinal Fluid; Urine
HMDB10725 , (R)-3-Hydroxydecanoic acid , C10H20O3,188.141,189.148276,187.133724,Not Available
HMDB10728 , (R)-3-Hydroxydodecanoic acid , C12H24O3,216.173,217.180276,215.165724,Not Available
HMDB10734 , (R)-3-Hydroxy-hexadecanoic acid , C16H32O3,272.235,273.242276,271.227724,Not Available
HMDB10718 , (R)-3-Hydroxyhexanoic acid , C6H12O3,132.079,133.086276,131.071724,Not Available
HMDB00336 , (R)-3-Hydroxyisobutyric acid , C4H8O3,104.047,105.054276,103.039724,Blood; Cerebrospinal Fluid
HMDB10737 , (R)-3-Hydroxy-Octadecanoic acid , C18H36O3,300.266,301.273276,299.258724,Not Available
HMDB10722 , (R)-3-Hydroxyoctanoic acid , C8H16O3,160.11,161.117276,159.102724,Not Available
HMDB10731 , (R)-3-Hydroxy-tetradecanoic acid , C14H28O3,244.204,245.211276,243.196724,Not Available
HMDB12128 , (R)-Amphetamine , C9H13N,135.105,136.112276,134.097724,Not Available
HMDB02299 , (R)-b-aminoisobutyric acid , C4H9NO2,103.063,104.070276,102.055724,Not Available
HMDB12129 , (R)-Benzylsuccinyl-CoA , C32H46N7O19P3S,957.178,958.185276,956.170724,Not Available
HMDB12485 , (R)-glycerol 1-acetate , C5H10O4,134.058,135.065276,133.050724,Not Available
HMDB01981 , (R)-Mevalonic acid-5-pyrophosphate , C6H14O10P2,308.006,309.013276,306.998724,Not Available
HMDB03626 , (R)-N-Methylsalsolinol , C11H15NO2,193.11,194.117276,192.102724,Cerebrospinal Fluid
HMDB05199 , (R)-Salsolinol , C10H13NO2,179.095,180.102276,178.087724,Blood; Cerebrospinal Fluid
HMDB12486 ," (R,S)-Norlaudanosoline ", C16H17NO4,287.116,288.123276,286.108724,Not Available
HMDB12130 ," (S)-2,3,4,5-Tetrahydropiperidine-2-carboxylate ", C6H9NO2,127.063,128.070276,126.055724,Not Available
HMDB01188 ," (S)-2,3-Epoxysqualene ", C30H50O,426.386,427.393276,425.378724,Not Available
HMDB06900 , (S)-2-Aceto-2-hydroxybutanoic acid , C6H10O4,146.058,147.065276,145.050724,Not Available
HMDB06855 , (S)-2-Acetolactate , C5H8O4,132.042,133.049276,131.034724,Not Available
HMDB00337 ," (S)-3,4-Dihydroxybutyric acid ", C4H8O4,120.042,121.049276,119.034724,Blood; Cerebrospinal Fluid; Urine
HMDB00442 , (S)-3-Hydroxybutyric acid , C4H8O3,104.047,105.054276,103.039724,Blood; Urine
HMDB03936 , (S)-3-Hydroxydodecanoyl-CoA , C33H58N7O18P3S,965.277,966.284276,964.269724,Not Available
HMDB03932 , (S)-3-Hydroxyhexadecanoyl-CoA , C37H66N7O18P3S,1021.34,1022.347276,1020.332724,Not Available
HMDB00023 , (S)-3-Hydroxyisobutyric acid , C4H8O3,104.047,105.054276,103.039724,Blood; Cerebrospinal Fluid; Urine
HMDB01052 , (S)-3-Hydroxyisobutyryl-CoA , C25H42N7O18P3S,853.152,854.159276,852.144724,Not Available
HMDB06921 , (S)-3-Hydroxy-N-methylcoclaurine , C18H21NO4,315.147,316.154276,314.139724,Not Available
HMDB12487 , (S)-3-hydroxypalmitoleoyl-CoA , C37H60N7O18P3S,1015.293,1016.300276,1014.285724,Not Available
HMDB03934 , (S)-3-Hydroxytetradecanoyl-CoA , C35H62N7O18P3S,993.308,994.315276,992.300724,Not Available
HMDB12131 , (S)-5-Amino-3-oxohexanoate , C6H11NO3,145.074,146.081276,144.066724,Not Available
HMDB02166 , (S)-b-aminoisobutyric acid , C4H9NO2,103.063,104.070276,102.055724,Blood; Urine
HMDB05009 , (S)-Esomeprazole , C17H19N3O3S,345.115,346.122276,344.107724,Not Available
HMDB03938 , (S)-Hydroxydecanoyl-CoA , C31H54N7O18P3S,937.246,938.253276,936.238724,Not Available
HMDB03942 , (S)-Hydroxyhexanoyl-CoA , C27H46N7O18P3S,881.183,882.190276,880.175724,Not Available
HMDB13640 , (S)-Hydroxyoctadecanoyl-CoA , C40H71N6O18P3S,1048.376,1049.383276,1047.368724,Not Available
HMDB03940 , (S)-Hydroxyoctanoyl-CoA , C29H50N7O18P3S,909.215,910.222276,908.207724,Not Available
HMDB02217 , (S)-Methylmalonic acid semialdehyde , C4H6O3,102.032,103.039276,101.024724,Not Available
HMDB03892 , (S)-N-Methylsalsolinol , C11H15NO2,193.11,194.117276,192.102724,Cerebrospinal Fluid
HMDB06213 ," (S)-Propane-1,2-diol ", C3H8O2,76.052,77.059276,75.044724,Not Available
HMDB03601 , (S)-Reticuline , C19H23NO4,329.163,330.170276,328.155724,Not Available
HMDB01177 , (S)-Succinyldihydrolipoamide , C12H21NO4S2,307.091,308.098276,306.083724,Not Available
HMDB01005 , (S)-Ureidoglycolic acid , C3H6N2O4,134.033,135.040276,133.025724,Not Available
HMDB12492 ," 1-(1,2,3,4,5-pentahydroxypent-1-yl)-1,2,3,4-tetrahydro-beta-carboline-3-carboxylate ", C17H21N2O7,365.135,366.142276,364.127724,Not Available
HMDB12135 , 1-(3-Aminopropyl)-4-aminobutanal , C7H16N2O,144.126,145.133276,143.118724,Not Available
HMDB10343 , 1-(alpha-Methyl-4-(2-methylpropyl)benzeneacetate)-beta-D-Glucopyranuronic acid , C19H26O8,382.163,383.170276,381.155724,Blood
HMDB11648 ," 1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ", C11H16N2O5,256.106,257.113276,255.098724,Not Available
HMDB11649 , 1-(sn-Glycero-3-phospho)-1D-myo-inositol , C9H19O11P,334.066,335.073276,333.058724,Not Available
HMDB02327 ," 1,11-Undecanedicarboxylic acid ", C13H24O4,244.167,245.174276,243.159724,Not Available
HMDB01921 ," 1,1-Dimethylbiguanide ", C4H11N5,129.101,130.108276,128.093724,Blood
HMDB13136 ," 1,2 Diaminopropane ", C3H10N2,74.084,75.091276,73.076724,Not Available
HMDB12488 ," 1,2,3,4-tetrahydro-beta-carboline ", C11H12N2,172.1,173.107276,171.092724,Not Available
HMDB12489 ," 1,2,3,4-tetrahydroisoquinoline ", C9H11N,133.089,134.096276,132.081724,Not Available
HMDB00969 ," 1,25-Dihydroxyvitamin D3-26,23-lactone ", C27H40O5,444.288,445.295276,443.280724,Not Available
HMDB12133 ," 1,2-Benzoquinone ", C6H4O2,108.021,109.028276,107.013724,Not Available
HMDB12490 ," 1,2-Dehydrosalsolinol ", C10H11NO2,177.079,178.086276,176.071724,Not Available
HMDB11127 ," 1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-3-(Galactosyl-alpha-1-6-Galactosyl-beta-1)-glycerol ", C51H84O15,936.581,937.588276,935.573724,Not Available
HMDB12134 ," 1,2-Dihydroxy-3-keto-5-methylthiopentene ", C6H10O3S,162.035,163.042276,161.027724,Not Available
HMDB11132 ," 1,2-Dioctadecanoyl-3-(galactosyl-B-1-6-galactosyl-B-1)-glycerol ", C51H96O15,948.675,949.682276,947.667724,Not Available
HMDB00371 ," 1,3,12-Trihydroxycholan-24-oic acid ", C24H40O5,408.288,409.295276,407.280724,Not Available
HMDB00433 ," 1,3,7,12-Tetrahydroxycholan-24-oic acid ", C24H40O6,424.283,425.290276,423.275724,Not Available
HMDB02123 ," 1,3,7-Trimethyluric acid ", C8H10N4O3,210.075,211.082276,209.067724,Urine
HMDB00002 ," 1,3-Diaminopropane ", C3H10N2,74.084,75.091276,73.076724,Blood; Urine
HMDB13592 ," 1,3-Dichloropropene ", C3H4Cl2,109.969,110.976276,108.961724,Not Available
HMDB02144 ," 1,3-Dimethyluracil ", C6H8N2O2,140.059,141.066276,139.051724,Not Available
HMDB01857 ," 1,3-Dimethyluric acid ", C7H8N4O3,196.06,197.067276,195.052724,Urine
HMDB06798 ," 1,4-b-D-Mannan ", C60H102O51,1638.539,1639.546276,1637.531724,Not Available
HMDB12491 ," 1,4-benzothiazine-o-quinonimine ", C12H11N2O5S,295.039,296.046276,294.031724,Not Available
HMDB06944 ," 1,4-beta-D-Glucan ", C18H32O18,536.159,537.166276,535.151724,Not Available
HMDB13593 ," 1,4-Dithiothreitol ", C4H10O2S2,154.012,155.019276,153.004724,Not Available
HMDB02712 ," 1,5-Anhydrosorbitol ", C6H12O5,164.068,165.075276,163.060724,Blood; Cerebrospinal Fluid
HMDB01961 ," 1,7-Dimethylguanosine ", C12H17N5O5,311.123,312.130276,310.115724,Not Available
HMDB11103 ," 1,7-Dimethyluric acid ", C7H8N4O3,196.06,197.067276,195.052724,Urine
HMDB02026 ," 1,9-Dimethyluric acid ", C7H8N4O3,196.06,197.067276,195.052724,Not Available
HMDB12498 ," 10,11-dihydro-12-oxo-LTB4 ", C20H31O4,335.222,336.229276,334.214724,Not Available
HMDB12501 ," 10,11-Dihydro-12R-hydroxy-leukotriene E4 ", C23H38NO6S,456.242,457.249276,455.234724,Not Available
HMDB12502 ," 10,11-dihydro-20-dihydroxy-LTB4 ", C20H33O6,369.228,370.235276,368.220724,Not Available
HMDB12503 ," 10,11-dihydro-20-trihydroxy-leukotriene B4 ", C20H33O7,385.223,386.230276,384.215724,Not Available
HMDB12504 ," 10,11-dihydro-leukotriene B4 ", C20H33O4,337.238,338.245276,336.230724,Not Available
HMDB05048 ," 10E,12Z-Octadecadienoic acid ", C18H32O2,280.24,281.247276,279.232724,Not Available
HMDB06485 , 10-formyldihydrofolate , C20H21N7O7,471.15,472.157276,470.142724,Not Available
HMDB12508 , 10-HETE , C20H31O3,319.227,320.234276,318.219724,Not Available
HMDB05049 , 10-Nitrolinoleic acid , C18H31NO4,325.225,326.232276,324.217724,Blood
HMDB04682 , 11(R)-HETE , C20H32O3,320.235,321.242276,319.227724,Blood; Cerebrospinal Fluid
HMDB04696 , 11(R)-HPETE , C20H32O4,336.23,337.237276,335.222724,Not Available
HMDB04684 ," 11,12,15-THETA ", C20H34O5,354.241,355.248276,353.233724,Blood
HMDB10170 ," 11,12,15-TriHETRE ", C20H34O5,354.241,355.248276,353.233724,Blood
HMDB02314 ," 11,12-DiHETrE ", C20H34O4,338.246,339.253276,337.238724,Blood; Cerebrospinal Fluid
HMDB10409 ," 11,12-EpETrE ", C20H32O3,320.235,321.242276,319.227724,Blood; Cerebrospinal Fluid
HMDB04673 ," 11,12-Epoxyeicosatrienoic acid ", C20H32O3,320.235,321.242276,319.227724,Not Available
HMDB04694 ," 11,14,15-THETA ", C20H34O5,354.241,355.248276,353.233724,Not Available
HMDB00920 , 11a-Hydroxyprogesterone , C21H30O3,330.219,331.226276,329.211724,Not Available
HMDB12460 ," 11b,17a,21-Trihydroxy-5b-pregnane-3,20-dione ", C21H32O5,364.225,365.232276,363.217724,Not Available
HMDB06760 ," 11b,17a,21-Trihydroxypreg-nenolone ", C21H32O5,364.225,365.232276,363.217724,Not Available
HMDB06754 ," 11b,21-Dihydroxy-3,20-oxo-5b-pregnan-18-al ", C21H32O5,364.225,365.232276,363.217724,Not Available
HMDB06757 ," 11b,21-Dihydroxy-5b-pregnane-3,20-dione ", C21H32O4,348.23,349.237276,347.222724,Not Available
HMDB11651 ," 11beta,20-Dihydroxy-3-oxopregn-4-en-21-oic acid ", C22H30O5,374.209,375.216276,373.201724,Not Available
HMDB11652 ," 11beta-Hydroxy-3,20-dioxopregn-4-en-21-oic acid ", C22H32O5,376.225,377.232276,375.217724,Not Available
HMDB10351 , 11-beta-hydroxyandrosterone-3-glucuronide , C25H38O9,482.252,483.259276,481.244724,Not Available
HMDB13594 , 11beta-Hydroxyprogesterone , C21H30O3,330.219,331.226276,329.211724,Not Available
HMDB12533 , 11beta-Hydroxytestosterone , C19H28O3,304.204,305.211276,303.196724,Not Available
HMDB06773 ," 11b-Hydroxyandrost-4-ene-3,17-dione ", C19H26O3,302.188,303.195276,301.180724,Not Available
HMDB04031 , 11b-Hydroxyprogesterone , C20H28O4,332.199,333.206276,331.191724,Blood
HMDB10199 , 11b-PGF2a , C20H34O5,354.241,355.248276,353.233724,Blood; Urine
HMDB12515 , 11'-Carboxy-alpha-chromanol , C26H41O4,417.3,418.307276,416.292724,Not Available
HMDB12516 , 11'-Carboxy-alpha-tocotrienol , C26H37O4,413.269,414.276276,412.261724,Not Available
HMDB12517 , 11'-Carboxy-gama-chromanol , C25H39O4,403.285,404.292276,402.277724,Not Available
HMDB12518 , 11'-carboxy-gama-tocotrienol , C25H35O4,399.254,400.261276,398.246724,Not Available
HMDB02152 , 11-cis-Retinaldehyde , C20H28O,284.214,285.221276,283.206724,Not Available
HMDB06216 , 11-cis-Retinol , C20H30O,286.23,287.237276,285.222724,Not Available
HMDB04029 , 11-Dehydrocorticosterone , C21H28O4,344.199,345.206276,343.191724,Blood
HMDB04242 , 11-Dehydro-thromboxane B2 , C20H32O6,368.22,369.227276,367.212724,Blood; Urine
HMDB11137 , 11-Epi-PGF2a , C20H34O5,354.241,355.248276,353.233724,Not Available
HMDB04693 ," 11H-14,15-EETA ", C20H32O4,336.23,337.237276,335.222724,Not Available
HMDB02984 , 11-Hydroxyandrosterone , C19H30O3,306.219,307.226276,305.211724,Urine
HMDB12530 , 11-Hydroxyeicosatetraenoate glyceryl ester , C23H38O5,394.272,395.279276,393.264724,Not Available
HMDB10364 , 11-Hydroxyprogesterone 11-glucuronide , C27H38O9,506.252,507.259276,505.244724,Not Available
HMDB06031 , 11-Ketoetiocholanolone , C19H28O3,304.204,305.211276,303.196724,Urine
HMDB10338 , 11-Oxo-androsterone glucuronide , C25H36O9,480.236,481.243276,479.228724,Not Available
HMDB12534 , 11R-HEPE , C20H29O3,317.212,318.219276,316.204724,Not Available
HMDB05095 , 11-trans-Leukotriene C4 , C30H47N3O9S,625.303,626.310276,624.295724,Blood
HMDB13338 , 11Z-Octadecenylcarnitine , C25H47NO4,425.35,426.357276,424.342724,Not Available
HMDB13623 , 12(13)Ep-9-KODE , C18H30O4,310.214,311.221276,309.206724,Not Available
HMDB04692 , 12(R)-HPETE , C20H32O4,336.23,337.237276,335.222724,Not Available
HMDB04243 , 12(S)-HPETE , C20H32O4,336.23,337.237276,335.222724,Not Available
HMDB05089 , 12(S)-Leukotriene B4 , C20H32O4,336.23,337.237276,335.222724,Not Available
HMDB04705 ," 12,13-DHOME ", C18H34O4,314.246,315.253276,313.238724,Blood; Cerebrospinal Fluid
HMDB10201 ," 12,13-DiHODE ", C18H32O4,312.23,313.237276,311.222724,Blood
HMDB04702 ," 12,13-EpOME ", C18H32O3,296.235,297.242276,295.227724,Blood; Cerebrospinal Fluid
HMDB00385 , 12a-Hydroxy-3-oxocholadienic acid , C24H34O4,386.246,387.253276,385.238724,Not Available
HMDB02431 , 12b-Hydroxy-5b-cholanoic acid , C24H40O3,376.298,377.305276,375.290724,Not Available
HMDB10202 , 12-HEPE , C20H30O3,318.219,319.226276,317.211724,Blood
HMDB06111 , 12-HETE , C20H32O3,320.235,321.242276,319.227724,Blood; Cerebrospinal Fluid; Urine
HMDB13154 , 12-Hydroxy-12-octadecanoylcarnitine , C25H49NO5,443.361,444.368276,442.353724,Not Available
HMDB02059 , 12-Hydroxydodecanoic acid , C12H24O3,216.173,217.180276,215.165724,Not Available
HMDB13633 , 12-KETE , C20H30O3,318.219,319.226276,317.211724,Not Available
HMDB00328 , 12-Ketodeoxycholic acid , C24H38O4,390.277,391.284276,389.269724,Not Available
HMDB04234 , 12-Keto-leukotriene B4 , C20H30O4,334.214,335.221276,333.206724,Not Available
HMDB02995 , 12-Keto-tetrahydro-leukotriene B4 , C20H34O4,338.246,339.253276,337.238724,Not Available
HMDB12549 ," 12-oxo-10,11-dihydro-20-COOH-LTB4 ", C20H28O6,364.189,365.196276,363.181724,Not Available
HMDB12550 , 12-Oxo-20-carboxy-leukotriene B4 , C20H26O6,362.173,363.180276,361.165724,Not Available
HMDB12551 , 12-oxo-20-dihydroxy-leukotriene B4 , C20H29O6,365.196,366.203276,364.188724,Not Available
HMDB12552 , 12-Oxo-20-hydroxy-leukotriene B4 , C20H29O5,349.202,350.209276,348.194724,Not Available
HMDB12553 , 12-Oxo-20-trihydroxy-leukotriene B4 , C20H29O7,381.191,382.198276,380.183724,Not Available
HMDB12535 , 12S-HHT , C17H27O3,279.196,280.203276,278.188724,Blood
HMDB12563 ," 13,14-Dihydro- lipoxin A4 ", C20H33O5,353.233,354.240276,352.225724,Not Available
HMDB02689 ," 13,14-Dihydro PGE1 ", C20H36O5,356.256,357.263276,355.248724,Blood
HMDB05076 ," 13,14-Dihydro PGF-1a ", C20H38O5,358.272,359.279276,357.264724,Not Available
HMDB04239 ," 13,14-Dihydro PGF2a ", C20H36O5,356.256,357.263276,355.248724,Not Available
HMDB04685 ," 13,14-Dihydro-15-keto PGF2a ", C20H34O5,354.241,355.248276,353.233724,Blood
HMDB02776 ," 13,14-Dihydro-15-keto-PGE2 ", C20H32O5,352.225,353.232276,351.217724,Blood; Urine
HMDB12564 ," 13,14-Dihydro-15-oxo-lipoxin A4 ", C20H31O5,351.217,352.224276,350.209724,Not Available
HMDB12555 , 13'-carboxy-alpha-tocopherol , C29H47O4,459.347,460.354276,458.339724,Not Available
HMDB12556 , 13'-carboxy-alpha-tocotrienol , C29H41O4,453.3,454.307276,452.292724,Not Available
HMDB12557 , 13'-Carboxy-gama-tocopherol , C28H45O4,445.332,446.339276,444.324724,Not Available
HMDB12558 , 13'-carboxy-gama-tocotrienol , C28H39O4,439.285,440.292276,438.277724,Not Available
HMDB06221 , 13-cis Retinol , C20H30O,286.23,287.237276,285.222724,Not Available
HMDB06220 , 13-cis-Retinal , C20H28O,284.214,285.221276,283.206724,Not Available
HMDB06219 , 13-cis-Retinoic acid , C20H28O2,300.209,301.216276,299.201724,Blood
HMDB12575 , 13E-Tetranor-16-carboxy-LTE4 , C19H25NO7S,411.135,412.142276,410.127724,Not Available
HMDB12576 , 13E-Tetranor-16-oxo-16-CoA-LTE4 , C40H56N8O22P3S2,1157.216,1158.223276,1156.208724,Not Available
HMDB12567 , 13-HETE , C20H31O3,319.227,320.234276,318.219724,Not Available
HMDB10203 , 13-HOTE , C18H30O3,294.219,295.226276,293.211724,Blood
HMDB12559 , 13'-hydroxy-alpha-tocopherol , C29H50O3,446.376,447.383276,445.368724,Not Available
HMDB12560 , 13'-hydroxy-alpha-tocotrienol , C29H44O3,440.329,441.336276,439.321724,Not Available
HMDB12561 , 13'-Hydroxy-gama-tocopherol , C28H48O3,432.36,433.367276,431.352724,Not Available
HMDB12562 , 13'-Hydroxy-gama-tocotrienol , C28H42O3,426.313,427.320276,425.305724,Not Available
HMDB03871 , 13-L-Hydroperoxylinoleic acid , C18H32O4,312.23,313.237276,311.222724,Not Available
HMDB04668 , 13-OxoODE , C18H30O3,294.219,295.226276,293.211724,Blood
