"","1","2","3","4","5","6","7","8"
"S20",3823374.64583699,256559.578378878,774929.752402431,262211.834739409,2874521.6875841,4301401.8350473,2532345.54174515,1667378.35150115
"S21",55320797.9212099,23006585.9829475,48377329.9215769,26877317.918552,38673907.433765,82866163.8379009,32218885.7598005,25059405.8219908
"S22",55582957.0878024,22745365.1888801,50765898.6940586,26541843.17599,38364789.2230414,82116190.2896445,33249138.7268943,26352943.6648691
"S23",4510792.94694117,6173309.68229651,7105791.98172968,7641107.07861298,9862127.95818993,10459927.0707585,9160099.64280456,7125790.77360685
"S24",11734760.2881818,2408727.0935985,6670716.82178066,2346319.71138594,5401306.19449748,17921020.3872304,3310096.74618005,2433186.50526383
"S25",868697.328266302,1839694.80667672,2624561.61270481,518628.636787896,18754351.1760401,4738875.25623578,1793944.69973978,1305495.19805887
"S26",418769615.701762,163195990.576225,364131522.273014,188845016.289569,282100845.33884,590253843.851246,234931243.628377,187371822.791883
"S27",30652828.8524757,11770874.7887113,26059508.9850022,13784407.2236221,20744456.5037666,43514239.0532975,17053706.7822035,13210178.4205476
"S28",58510954.5390314,26825554.5854744,59723353.9813628,30580948.5137115,45933111.0525316,2018422.80170998,1034880.21354624,847679.75440707
"S29",65420041.3048152,26628752.709216,59020566.0497178,29884359.0723733,45426102.8747965,94301157.2432678,38503951.7883904,30354544.1506695
"S30",6667740.68615801,26896458.5807293,60015425.4542676,30744098.224794,45869254.6983993,94369330.2727136,39340239.6184266,31024390.3902179
"S31",4681775.16805489,1899192.41452267,4146371.96697337,2403893.61353032,443722.117841075,7027015.77404272,2835512.81992224,116336.129224471
"S32",15917081.9937659,2540127.09215675,1724734.26715611,3107.31228357553,7097706.17780514,13438492.3482047,3155166.63973975,16349565.8506594
"S33",5855801.87944609,1974465.16524682,4541092.19494101,2042842.89858838,3692269.90637701,8244919.87129178,2479909.9906726,2221617.73107396
"S34",3435873.09660219,845322.052669807,2076916.19818569,974095.889649428,1660238.19738941,5285676.56677649,399151.803695811,1040227.02961789
"S35",5645015.67808018,792597.510232927,2969695.81087349,794168.594671206,1831107.8523932,9449243.88387913,245204.706036308,140000.850521764
"S36",283268850.663414,43185214.8091721,141622767.887802,50640379.3802091,102280698.855527,461019845.62904,17985895.3704265,12093912.652491
"S37",72180774.3238148,11534203.8924173,37577811.6480185,13080873.4059463,26300763.6197775,117287259.862993,17307704.0933079,185567.324019029
"S38",334904558.122102,95081268.6304672,254418242.169857,118816573.948883,191896674.343451,455192108.987536,144980578.898958,28318330.6513982
"S39",78653895.0697965,179250.780329779,383488.222523835,28852000.7015195,47997702.1635864,109390092.19044,35327167.3672273,26360704.3257882
"S40",85062909.4781482,24178194.0674799,65751330.8601298,31272626.8059682,50517869.7831089,115618346.043011,5250.25642397018,28165362.6437837
"S41",10469632.9910609,3008976.15314246,8587880.62545713,3936774.8130749,6240322.04577631,14187949.1523465,4549005.65855137,3669456.44336876
"S42",739169.435080778,421156.713962402,2615084.37299683,2395004.8401341,1622673.92228028,1261010.40890924,1584653.39400439,0
"S43",342519287.706162,242841572.509351,1289607905.29097,1053178072.89874,606653212.336473,2143724685.65473,2841555315.9685,205138757.030633
"S44",85365632.7056314,60464555.6110603,319669552.88177,263409806.845326,154811727.069407,540389212.17886,722700721.583616,50066165.6789767
"S45",10898151.7362924,14198096.4050713,44080246.3989358,29209504.4325845,1422542.31102631,1051200.33569089,80552401.3982083,5452239.37237501
"S46",8514083.97331377,3620619.99924106,3128316.00736461,5538857.54905704,20153300.454137,12749461.225336,26274777.4664201,19341.2617626202
"S47",20508911.1298133,12932257.3251059,52227256.1850562,40975758.9797302,50287064.4707075,56218905.1022694,126889672.725752,4905381.08189062
"S48",5486734.97598464,3167335.83621093,12262248.0661241,11071365.6136065,13713332.1399406,14471448.9904219,34697846.557426,197472.719275808
"S49",12212654.7907327,5008126.44514101,49939152.6094941,50973590.1113162,8744019.90521364,150294040.914773,305858892.68333,147138.949332982
"S50",6659659.6123749,2548790.85187064,26248725.2344198,26820503.3330327,18652527.977305,76581229.80675,156829989.613164,60496.9759264106
"S51",6445551.0073097,2604459.36306607,24703689.7147697,26088214.9170697,450525.50748526,9828525.55158548,11855741.5490225,64992.1480440072
"S52",19623981.811753,27920143.3224924,17099243.6571957,21194099.3786935,21532224.1147512,26196346.711659,23726957.1873921,10452917.0868179
"S53",738054.67617899,1655054.25896022,1050124.866072,774963.960360353,151509.867371877,33582.6420018306,931318.792755149,637789.428592775
"S54",1890562.92460957,3336998.79666795,2089741.10035914,1761271.00744458,1259017.59298572,1674058.94688616,1910526.85201984,1511480.5185798
"S55",18558748.3425912,20457878.4642491,23343361.3919465,11496134.5342305,13874702.6761959,19693322.3274167,8998454.97980552,35060756.6280056
"S56",41228874.9544247,67790882.813167,48984122.1932417,39505011.1945405,30958946.7280048,37855036.776342,43185309.4670138,36896461.1787855
"S57",23836490.7036856,17065024.6080385,18628456.8297341,10990884.2539429,12546686.2932742,23479439.6366336,9037771.97257768,16943669.9536546
"S58",7192525.00820085,4971534.62842968,2999049.23520484,4509117.84677491,3510215.51629827,5236732.52301746,4027316.03076815,2453398.07056922
"S59",3826587.75185299,3239724.55203906,1644145.79969339,2059128.47406343,591180.403984631,3120283.346029,1777126.62832031,1136348.62219643
"S60",79557715.2481368,56390434.8501109,375424492.762447,240411259.048772,111324016.609701,311818268.614974,710270440.557363,37158126.4769782
"S61",15463393.9500344,11039320.8157078,76281650.7988945,46964250.0022615,21716831.9008315,62266528.0529009,145496554.279534,6747802.63666536
"S62",13410499.2164717,10649174.4882403,6218763.04619811,9787799.61763104,8329812.29681126,9928086.88385922,7871644.31622487,1715664.6891927
"S63",4015161.16925205,2896649.24040247,1637491.0199815,2684381.83886982,2076583.09082276,2849944.41883556,464039.901341696,1375040.05976513
"S64",13520472.8960026,5190830.82308539,11006193.3157435,4633117.15521975,2071650.51337418,12225190.835965,6878192.65985142,12829499.0081943
"S65",5775106.91627072,3189901.34831038,5566252.21996886,1956896.50759797,2143248.9162013,6070903.761921,2011122.27287163,7440823.44639893
"S66",19265198.6654902,11732156.4495632,17829527.3943401,7079775.18894284,8397956.01131203,22335079.6188988,5274364.53452702,25974631.9835047
"S67",27203686.6132772,2658574.35863353,21535912.0841203,10856965.4305085,12081312.1561621,32033035.5272867,10308602.8453158,29420311.6185383
"S68",31989020.4579238,21994835.7750207,29967064.9593457,15280149.8082874,17876843.4769508,31580536.5618709,15317025.6234859,36293080.9499253
"S69",22331814.7408715,17288950.5484827,12886390.1668069,10094306.522565,11113476.6982783,23406114.6365725,7995270.14543362,18530535.6157377
"S70",4256852.75978281,1278761.88629958,1444245.55131616,3798393.5257209,4126659.68593809,3418842.00103894,2930426.14304004,1571149.15570835
"S71",1866521303.1597,2037075240.11592,831952709.022937,1738383463.34655,32602794.4925239,1569226964.97211,1389457614.01189,857986373.609152
"S72",195851.799683766,3071642.4789389,64662.5779176675,478293.216865474,2161148.12822364,2082391.15062997,2045246.58889032,1393115.97211548
"S73",4745678.69674004,4747247.74156687,1864118.67009121,4366974.01315171,1246065.97741277,3725496.48390778,790657.395504871,1904732.33587793
"S74",65662197.8051638,516730539.500231,207099224.672016,61459289.5927364,506127697.841836,391713351.001446,355299337.578358,216369143.247287
"S75",479138813.285213,523941320.747617,209751879.219792,448114033.3419,510482298.694509,399573241.208116,357870991.983191,218083425.472912
"S76",471432304.620645,519258125.531638,205842908.284981,446699763.766183,503518606.006066,61934613.2360099,356480648.701776,217279799.73134
"S77",70943254.6996233,76228882.7310163,6568381.27266848,65824180.9572108,75019663.3532274,59728482.7574171,51584548.1031571,32135692.7166174
"S78",71516098.7034102,76764837.0682227,32580633.3599637,65829276.1014802,75688942.4954989,59929080.4614673,51649842.7495805,32098597.6609274
"S79",9227976.28841937,9455899.39373069,3742331.84758386,8144354.25128218,8570929.27327138,1862750.75284593,597782.917606182,3870780.11138294
"S80",60893030.4548347,49928141.3878089,16385615.8916658,36924514.5357343,822399.357333069,36793916.3085064,31472923.0599216,16080952.0990466
"S81",60880546.2042807,50060442.4168978,16399804.0300467,36893242.0191762,37440322.7541445,36907279.5490946,31803245.909161,16098474.6253385
"S82",32796786.5042327,24070634.2411027,8660338.84219888,19724713.9228755,20195418.1739859,18993441.5150211,16134105.2401747,9344896.95416022
"S83",154449840.415418,162593155.753995,77931968.5046506,122242387.272902,172615161.51282,121615639.910334,103885109.84692,19178716.9598063
"S84",154658624.6622,162964346.484183,78209519.2358817,123024630.980125,172719679.445826,121856394.759522,104431261.226078,73940145.7515672
"S85",152241801.997922,162549476.686427,77370155.4872237,121995671.654702,4891210.40936788,1870061.26114821,14162628.1126848,8646830.33377996
"S86",30796207.3307269,23798705.3105431,31618631.8518974,18603975.0837003,21546854.3052297,30754120.2419528,5258841.83648527,35344602.5341861
"S87",4705697.33021636,4020868.85301316,2697822.66031912,3482941.69310209,976656.422584279,4135293.89651633,3513968.26775942,2128024.56660713
"S88",8250331.44615848,5617158.4453451,7589265.31276858,3785149.98638085,5296750.44509375,7588325.89983016,4692256.22178014,9361732.02600817
"S89",12217497.5708652,13243754.1122726,56179.609033227,7101752.91730078,6505265.62244874,6894456.12646946,6248295.93076461,3413368.53432496
"S90",15328639.5809598,15139274.0821035,7235796.44748313,12843086.2210303,17827193.369954,12237073.8978153,9960358.20525467,6638427.51628179
"S91",16191468.9046439,13519801.4889777,6923637.92698258,11918270.4403472,14351607.1245289,13973154.4005031,11679746.6429527,10934015.7016795
"S92",63354627.0255999,50638011.9091601,37615557.6854006,46532331.9340025,42103777.5787744,50464211.8074976,45412729.5131255,35524845.3526253
"S93",17216079.930393,13023089.530963,9601720.55183866,12520434.4000766,11682734.4377471,12752474.5935684,12400758.9640152,9492922.45566783
"S94",29965742.6167235,23680867.7045296,23096646.8544787,22219051.1534108,6230812.04696081,23427352.5948808,22163402.1552817,19560080.0501663
"S95",2065194.48239775,5721876.25210121,5974324.3450432,1055279.40218793,9442716.13052366,5455375.55200213,5347558.34219601,5145737.1369572
"S96",2957918.7038139,2374759.25094775,54558.796407537,345845.873887701,2268932.98094063,1701136.33112262,1320304.03033594,1321766.77367896
"S97",8725652.22468194,182710.311898232,7988132.17813394,6595569.39365667,6021370.0689128,6399579.18080238,7181111.2657377,6353385.02344116
"S98",906410.131726419,1112901.4810476,2118191.8635744,9314786.43078164,11837181.6633043,8797939.28531572,9106417.32778334,6135156.20188799
"S99",650587.308448454,5558050.7906834,234765.316411853,5621647.35292495,7748209.51589438,6270204.98581183,5797124.10841906,3857847.65990687
"S100",831773.858562226,2776206.32357212,51800.042089169,917427.888750403,5052332.13900374,3304990.11076247,4093269.58195066,2332850.07116504
"S101",12665236.3880976,12648262.93527,775622.130001357,12360510.7723934,14085975.6615954,10706298.130444,12502342.7619572,8027845.41336143
"S102",8680823.95934947,9193400.42569769,2255492.58468117,2279245.56310524,11432822.3343411,8260294.95985322,8624275.20165841,5816217.22166763
"S103",7023652.61129851,7595532.57733651,1828816.73275138,7988693.32689159,8224444.2590344,6242316.22713124,378569.98174313,365653.53480431
"S104",38606398.5756496,34978797.3815335,9806594.93999138,26328329.3575198,33139347.6658238,6083746.29548947,4968328.05743333,12846605.1606809
"S105",5253153.73871233,28951586.2601728,7193529.76653524,22351257.5660305,26445819.3984232,20495321.3895673,17640377.8869224,9689741.38157959
"S106",26833329.3748669,26551980.3300481,1183154.51189647,20929481.7594259,24750534.1093978,18978610.9202518,16455692.9234382,10112211.477227
"S107",13721411.0654965,11500831.2086866,3560745.63065474,9955611.38553359,10319947.2293026,8838959.15293376,7480601.80030669,4438491.29619802
"S108",1335802.15441932,8878347.34423957,467986.345142885,1478904.52773609,11915809.3868447,5971810.3057359,5367973.7382575,2701395.04947458
"S109",9151005.25597506,7779897.75447395,2137108.95639609,5806656.20368669,3045218.36904828,91618.721998457,641601.384080923,302795.549625376
"S110",312805604.751758,369585812.897907,54627441.1282358,258840341.033826,98244062.5648372,214676162.014045,46712745.9286182,63760261.3470001
"S111",342531100.081208,405671463.706574,60410630.5488284,289783322.439573,98184394.3350282,236557218.137241,174836490.69044,70844917.0576476
"S112",2804811.85392622,3056629.67968666,488781.269353818,1553467.26147245,3545470.24400138,1254167.07064368,2971348.3778203,2001970.55445557
"S113",2754381.27340866,5387647.20724455,3580012.27182391,2245643.45977734,2475819.93511192,1964592.25236263,3503557.31756252,1803066.28466016
"S114",829597856.695922,250543600.592041,178538378.181947,42628435.365449,118854520.385228,559936142.643115,4582186.16805833,394816612.965463
"S115",828012469.867802,250186173.614935,178513960.010605,42576458.2321418,118820122.771479,556785518.543627,1131275.57921755,394103776.660293
"S116",10505910.2506274,3081749.34409626,1765629.75094605,2966124.22699219,15844439.3923862,2274336.81643433,7773460.18695703,11515828.3136016
"S117",3253480.04197281,5501512.6707422,3764225.82474519,2532986.85782812,2967932.69408657,1480389.86270532,4164522.30292969,1886890.8310664
"S118",12737889.56536,3357432.36411567,2184587.55666695,3836608.45647657,19118833.3375464,2419958.06239769,10040767.0480195,13621188.777961
"S119",8484532.5779806,2180446.77393077,218373.724068331,1977542.08126172,11747339.0803451,1126121.9797871,7546641.41203126,9025137.52665235
"S120",5587112.57803489,8851575.08881041,5490232.78329431,5692444.56128906,3415929.82479411,3929783.40354709,2230786.50963562,4306656.65087111
"S121",53770944.9577902,16134040.9147386,10744202.7663414,17133833.7825938,77284730.7469949,11984662.0478698,40955239.7067655,61111787.5851873
"S122",131289127.662896,22476403.2169546,12081809.8287085,477050.965170567,11311130.3942931,94359359.8142801,4223600.0956875,43667063.6994844
"S123",18456653.075277,32418182.3959246,22257732.7118157,16612476.2391509,16652343.4268149,954504.861470759,3310082.38220546,12218477.7858633
"S124",18376109.2765129,32005244.2218848,22189187.9194205,16517332.0791588,16708971.3228026,13249297.0594623,28492106.9444766,12396733.5322383
"S125",2740347.2546618,5220719.22636199,3196904.65323925,2272621.70235936,2709984.05952051,1933652.97478471,4438458.58809377,1393662.60596484
"S126",19721588.6569925,1408919.61003551,531286.282335458,2877475.17094922,41797687.8154412,1746972.39066588,10820744.8190039,12368415.0457383
"S127",46183506.4856226,76861579.5962165,52280045.7071907,41677246.776318,40840853.5839985,32951888.5166721,64804707.3848437,32389491.5424714
"S128",7571558.52537841,13504523.8694606,8554122.60412888,6945714.14568753,6913432.79543558,5010760.71767396,10881980.4565313,4675326.29534766
"S129",2670156.17163477,4417470.86011367,2697848.08441768,1888979.01379687,2255264.05938086,1396658.19829452,3640170.79823436,1244459.11289062
"S130",8969148.4458322,18115193.8180856,11687903.9107105,704352.431823941,8279205.41204132,6259615.6680786,15062876.4813282,6491356.41786325
"S131",879725296.667333,1453710530.16547,1014618396.10001,803029529.290707,727028723.613281,650300166.922581,1299591824.53491,620850596.787284
"S132",51385169.8429988,77933714.9571125,61850962.004166,51274329.9919217,40539162.5365691,41072661.8739406,3724793.24219036,42448092.1165194
"S133",52126097.9175433,79974468.2101312,62754547.0799589,50488669.5546912,41281358.2357405,41276485.51455,80987564.9506174,42319706.353453
"S134",2655007.02428589,5159694.63240021,2714806.4053086,2335799.54200782,2280329.92416643,1560431.11744898,4346462.77235155,321891.820945419
"S135",169723759.974737,282961564.3743,192324496.313933,150521300.866409,140757321.41019,120534397.351185,246381337.361062,116502802.666887
"S136",12032634.3188012,19842731.2838105,14009849.9150241,10409645.9964375,10377791.0645652,8559305.5351586,17504035.2565546,7353917.39493752
"S137",13681147.5171635,18693555.0161477,11421199.551745,10104497.1096328,8344813.63028702,8578782.03449526,17598179.9715937,8547191.90946094
"S138",11284075.1335394,8152677.46264551,5053723.07409196,2709570.89303905,4744937.81632711,11855253.5112743,1955397.62982421,10702284.4283555
"S139",9999915.91052623,14328996.3299677,9457492.24566232,7566483.50623826,7118293.05432452,6808578.22219362,12488914.1035781,7311817.53550767
"S140",43021554.7205563,11755372.8906948,4614044.39148849,7323059.56143752,77446554.2318167,5061117.61703815,21323885.5201172,25989025.106121
"S141",3867524.28724721,5299044.84084042,2040329.72477059,2129423.39036718,2825912.19773065,2049952.92720326,3876411.25272655,1830852.97666405
"S142",19042786.7746016,92675661.4669253,84038751.8331041,21711441.2729299,813791.390262151,4645882.32331111,15817943.9215195,11699459.9317617
"S143",4768740.89712693,28915181.3070708,26197992.6888618,5338224.83827735,237704.369762897,169583.52213819,4286278.44270702,510840.632903047
"S144",7750204.87862561,49021056.9703961,18705300.4592994,5411388.43998046,905903.627940014,49102.236158065,3122088.08834765,338646.161072067
"S145",16841034.183964,42708087.1268717,21966347.3450499,14496190.4915157,14603432.6285945,9424392.03388653,29812973.4970548,8067274.53423046
"S146",12414454.9653036,11837363.4644042,0,12605458.6676133,11882296.3077812,10834877.3498264,7294556.38047657,7036611.99495705
"S147",14757868.4699711,9930876.96961214,51414.2185600667,2556872.11096194,10664476.4272056,10787421.2399405,8023640.00367189,11687018.9403281
"S148",1667145.58946257,12408930.5647008,178842.751725062,12543168.7334414,18075744.6268517,12233502.2905526,9252944.3377266,11668090.6852735
"S149",13473185.8833058,13568314.5944044,0,14146262.4118008,13025549.0280086,12222905.2075223,9495374.36988284,8308025.28077342
"S150",209504418.961857,56277706.3762409,40995610.6416239,7612621.87160154,42820349.1097771,68860510.3926783,2916797.824125,101193568.737527
"S151",868168.185246289,811989.295463353,33909.9506414357,1037003.57607135,4746117.66185364,3256180.52568575,2820222.99996094,4507638.90146483
"S152",41439035.6075676,29287754.0746366,2861942.45161404,40878868.8832031,36337903.3557817,9643184.91271159,30422730.2544961,35300354.0598164
"S153",17896402.2472502,1070620.7619647,14118.2468657998,1305863.29937779,12769932.5030435,14529130.1226681,11396532.6371133,13205753.6497735
"S154",11193579.6301025,12244720.7232162,22370.2992146015,13679397.6974063,12208924.5467282,10765470.2754604,8897049.58829296,7740609.2757718
"S155",11395201.5873191,32115074.1333605,5875545.91661784,47604815.4478827,42817097.1936546,42463568.8075432,38238287.8084571,40173018.3500158
"S156",19197905.2351798,4585996.85853709,783701.482062569,20276632.3087147,16701474.9975705,19013537.6789379,14923189.9144922,16771473.7233156
"S157",17149196.0728789,17514482.5349743,647980.840510541,19936154.6783528,15955014.9535272,18274880.1686226,13397474.4562383,15903933.6600524
"S158",11600521.008303,8143080.25523436,82853.8612061326,9972508.86554509,12284187.9003917,8107521.95813313,6178850.9137031,7745893.41144639
"S159",11145614.6379686,7802756.18622929,78554.1806516239,8056875.21089062,11833265.6197055,7940304.8114305,5900552.10567185,7643686.38076442
"S160",4819472.29086421,3276904.04964222,29182.0652568489,2983509.72079688,4708094.83794106,2851835.38076061,2071209.62074219,2415817.65690233
"S161",7240422.63138032,627394289.62708,1119466058.31618,397611511.346139,0,160101728.798234,393760006.835633,517446678.504556
"S162",42520703.0329475,22409949.5714993,5144212.19704013,3374753.74093542,7707674.09477549,21091065.8822669,290861.329092812,28368109.6205016
"S163",8289613.89211566,7712761.05247363,8776183.93937884,1579186.4114106,3442363.8753275,12905775.7830338,29441.3198348465,13759724.6326333
"S164",14917830.9147718,7220127.35888955,6256013.65324794,1615945.60895937,5012555.7695662,13261043.9310646,1449768.7326525,12506539.6931683
"S165",12728178.2970163,11601121.6403612,13038688.4632006,2955599.10406831,4314579.2727728,19300281.770739,79475.110281287,19186025.9471196
"S166",6079674.25571287,13161468.8930402,2761584.87211594,7170710.96294826,4955266.53746295,7055654.87410237,45094.9515517155,30509.5300132235
"S167",1447004.51192173,2950068.23692813,686379.773793943,1296317.69277698,999800.451577768,1494510.33688995,0,45543.8310669598
"S168",1915666.38330416,4849418.20589392,903509.878038939,2616043.58859599,1985506.96401095,2563281.77729468,83741.9873650944,318287.059729235
"S169",14793346.3267676,9194255.00483295,13660088.0221112,2124241.06078213,7762076.40832138,16460973.5583885,177831.373425169,20968325.0099729
"S170",20333034.3739512,15364113.3128637,20611350.7968887,4539016.21529331,7177669.41572458,28040595.6444791,435873.264472257,30880911.5178656
"S171",18843646.8550294,13473977.9796901,21072158.6887607,4252516.59864612,7346153.6443933,27696274.4848514,519260.382126494,29334802.6241444
"S172",4387623.75455211,2744718.26475104,4948994.58013985,794829.149126304,1437463.79143249,5995906.27886285,0,6507115.190625
"S173",41748171.535916,26260470.8548659,43623134.8018889,9064216.82693687,19539892.9441772,48730106.0421295,1340577.70253863,51911457.225753
"S174",9508321.1982408,5776413.18340542,10506137.8315737,2119239.48614576,4788929.90915804,10838899.4246997,97942.2562500301,12256901.1335156
"S175",47205362.4762234,31535257.8135761,43528712.1658327,12029832.1518069,20084709.9274273,57020415.2242294,13616846.4523788,73834713.3978389
"S176",24560733.3271467,8692142.31076444,3113348.17195555,32317434.2352065,44013910.7818634,31800190.8268558,34401660.9214754,31977611.6734707
"S177",6984815.04916393,17179950.4296008,934064.164843,7250497.93758055,10350198.5585625,7941647.5788305,6466519.04388484,7134394.00210571
"S178",24276888.4994677,18978807.9210101,10836567.6638896,24405317.5871569,22354212.1927352,22366938.5868273,20227827.298558,14678600.0740383
"S179",5409828.12380694,3809109.8204589,46451.8481158538,5350774.00864226,5014612.36159291,5119427.67307226,3835234.8343735,2920725.49279795
"S180",9823722.74658531,25855406.7740762,2247808.68494141,2561537.00602389,17742651.7095705,11556257.6326842,5710668.01146946,9105773.88455692
"S181",2659007.90996793,1927993.95132756,1488621.03496541,2203077.83842585,3256390.99206157,2192052.59285156,47603.8716859747,999183.161392973
"S182",15098447.510086,11312389.9082076,13980564.0053994,7641601.75717477,10952894.638739,15487664.496168,5526763.09147989,13294405.4382826
"S183",5413633.61008299,5210571.25030793,2036020.27971322,2032427.49156738,2505240.44451074,4977655.11715623,7881857.47846544,14025909.5630585
"S184",387693974.704526,6321783.29481926,2294674.00521781,555778742.017092,450853617.036952,514962529.681972,545395162.366211,603867090.218292
"S185",660398310.678247,1564069971.62719,261370699.730435,814519754.016701,642558337.294811,762213601.147427,111575299.01966,180038065.279388
"S186",8891857.94616754,21893220.2766478,4151121.32408702,9791744.23631188,8855909.71561463,9755849.59871213,10457035.8242356,10890011.1124619
"S187",173456427.87069,411820962.691847,70709282.6033521,221786187.015175,169403214.833728,197181427.632523,199358250.158643,219544091.502353
"S188",183138167.504865,434789773.577965,70635348.0111172,221584564.66479,178499322.399798,209195001.194201,206246921.617902,232138707.662392
"S189",10119734.879108,31323163.5015803,2172118.81302672,11811042.7121704,8861655.3876484,11090067.3964645,11929237.5306526,2832131.58457361
"S190",8369870.80358085,15481116.5285183,1154045.49365935,6823511.81629893,1266260.95482582,6166808.39706522,4636278.9768047,5400008.22880547
"S191",300177153.181452,553335639.524553,118540155.807866,311309963.522084,307027720.35253,14551299.0036357,16896642.0783085,245522957.258123
"S192",300109132.440963,553230051.378792,23760833.2809141,311948489.024592,306948953.758366,301882224.523931,202350505.378684,245827973.788479
"S193",299946251.548846,552793936.769216,118542391.007436,311823881.915293,306605482.834536,301947449.647373,202284160.611414,245619665.784618
"S194",9396938.33370703,16587628.1999505,3160430.51966145,9295975.95795199,515224.048289773,2102262.11875792,616814.001950757,7260388.47464093
"S195",79971384.8953564,150120975.322686,31413101.244129,84059056.5227234,83776632.8686965,79574813.701035,13169481.2656124,66428671.7952873
"S196",80750889.4315324,151468737.812554,31813691.2053948,84040071.0496062,83697657.9639313,80486098.715289,60073666.346003,67046622.288699
"S197",13878372.2506236,9828358.35028653,12817129.1781928,8298822.40488089,11437500.9401144,12333239.7581422,7395529.42281166,10675434.2734697
"S198",8078050.79425336,16109923.0631114,3330170.23565416,9352029.7854655,9524148.59036895,7793016.56351055,3770415.47458343,4270272.63838976
"S199",4496488.50461813,4666025.60329861,1792991.74306317,2562849.31334439,2472137.87971068,864947.726868123,4003708.76488432,2342536.01338789
"S200",11401317.5822427,8244971.36345263,10758006.0951067,7707806.26211057,3010473.17469791,10005612.8107014,6243466.34486234,1566549.77274992
"S201",11386554.6568244,8264484.62251348,10772501.4806154,7809840.91462964,11389805.3068943,10008051.2445472,691023.314933005,8459380.83440106
"S202",24812195.8651669,35130784.3947005,12131977.3756047,22362128.1496293,21296499.6753485,24794762.6653675,5362977.76666468,7792028.67422856
"S203",7395737.70658716,10121129.7954216,3175258.36707418,6129873.38205111,5890690.68607779,766223.514527863,213346.789397565,227411.196376551
"S204",3245394.49925538,3380586.79393428,1378958.15246719,1591654.57409277,392453.943244457,2909731.48461752,4832062.98813282,5456730.54597655
"S205",22458506.7130075,26733192.5373464,11161979.095202,19354156.5842001,25838705.3129082,19264800.2711167,11610175.2600946,13307912.0144389
"S206",6410115.22212966,6988173.04155944,3449565.01533594,5882277.54690624,491984.709665736,1456769.12720853,687001.469472771,1003032.95552233
"S207",6307009.38956039,6962404.50437339,3434385.84850489,5844952.13623437,7202855.82658521,5274510.56170889,311337.683635389,490853.734301603
"S208",8854297.38430191,6969663.55483047,8560799.83171585,6615385.98616896,9117884.26703693,8006544.66719898,1058449.78927002,5704939.90334994
"S209",19442703.8952878,7172009.49205275,198029085.24534,109560505.962699,14211013.2498201,157981851.787707,122522858.35193,109208679.71125
"S210",326063.916468809,58224358.5898996,195084324.56236,104050864.190238,14034125.9820494,148049335.867514,115717901.097101,97425023.5186563
"S211",21845175.97393,24691372.6534771,12537607.817185,10888816.6649521,16973559.4736518,36359730.3336348,4591225.9043805,24395202.4029234
